numberOfJobs=20
numberOfMachines=20
initialSeed=268827376
upperBound=2100
lowerBound=1711
line1=94,43,6,47,45,51,73,49,31,58,19,36,54,75,7,5,82,20,31,32
line2=3,18,43,41,83,62,27,75,52,58,18,1,61,67,55,72,16,12,87,21
line3=39,23,28,31,86,19,85,90,77,4,85,81,9,52,67,77,45,7,21,26
line4=1,92,83,43,3,3,51,5,38,37,44,66,31,8,79,42,85,92,89,29
line5=63,96,50,12,15,11,33,7,4,58,27,7,7,54,31,94,25,8,61,51
line6=86,36,19,71,8,77,8,6,40,39,24,82,69,82,39,52,85,48,22,57
line7=44,25,85,86,73,58,95,13,50,39,24,55,58,79,42,98,44,16,13,74
line8=19,82,12,70,6,64,3,4,29,43,40,77,88,74,13,13,17,45,2,22
line9=55,46,68,15,55,74,42,40,88,68,67,67,8,13,74,47,3,95,36,46
line10=67,66,66,32,8,30,92,40,13,79,19,29,27,18,42,86,30,41,27,50
line11=98,79,44,90,22,72,84,42,46,72,98,12,14,6,70,1,41,60,51,82
line12=30,63,88,79,44,54,12,15,3,89,84,23,4,32,60,70,20,43,2,52
line13=21,18,98,59,17,29,42,19,17,49,71,25,22,84,50,46,60,31,64,53
line14=63,20,70,12,1,75,72,79,48,77,16,60,47,67,45,67,35,55,26,32
line15=75,56,87,52,77,78,93,65,21,35,1,15,52,94,10,61,8,79,40,29
line16=20,50,37,68,23,64,15,10,20,15,19,92,63,69,15,94,94,54,45,51
line17=57,28,27,51,42,95,94,35,26,42,31,26,14,75,6,86,32,92,71,63
line18=73,11,38,53,79,40,56,60,25,54,78,78,53,39,50,64,67,15,24,74
line19=71,18,93,74,30,86,50,12,6,80,96,10,95,17,98,29,13,64,56,81
line20=38,4,40,98,22,8,31,41,25,91,95,83,38,93,62,87,27,33,58,26
